CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Honda WR-V i-DTEC V        4        1125000        64000        Diesel        Direct Owner        Manual        First Owner
Maruti Ertiga VXI        8        781250        15918        Petrol        Trustmark Broker        Manual        First Owner
Chevrolet Spark 1.0 PS        13        137500        77000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing GLS        11        241250        49000        Petrol        Direct Owner        Manual        Second Owner
BMW 5 Series 520d Luxury Line        4        6000000        16999        Diesel        Broker        Automatic        First Owner
Chevrolet Optra Magnum 2.0 LS        12        243750        124000        Diesel        Direct Owner        Manual        First Owner
Tata Nano Lx BSIV        11        56250        39000        Petrol        Direct Owner        Manual        Second Owner
Audi A4 3.0 TDI Quattro        10        1975000        90000        Diesel        Broker        Automatic        First Owner
Mahindra XUV500 W10 2WD        5        1875000        54000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift VDI BSIV        5        800000        29000        Diesel        Direct Owner        Manual        First Owner
Renault Fluence 1.5        11        375000        94000        Diesel        Direct Owner        Manual        First Owner
Maruti 800 EX        19        37500        64000        Petrol        Direct Owner        Manual        Third Owner
Hyundai Santro Xing GL Plus        10        362500        53000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0 LS        12        175000        64000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV        11        706250        76000        Diesel        Broker        Manual        First Owner
Nissan Terrano XL 85 PS        7        656250        109000        Diesel        Direct Owner        Manual        Second Owner
Mercedes-Benz C-Class Progressive C 220d        5        4750000        14000        Diesel        Broker        Automatic        First Owner
Maruti Celerio VXI AT        6        518750        36670        Petrol        Broker        Automatic        First Owner
Maruti Omni 8 Seater BSIV        9        313748.75        61112        Petrol        Broker        Manual        First Owner
Hyundai EON Era Plus        9        237500        44000        Petrol        Direct Owner        Manual        Second Owner
Toyota Fortuner 3.0 Diesel        13        1250000        184000        Diesel        Direct Owner        Manual        First Owner
Ford Figo Diesel ZXI        12        218750        153000        Diesel        Direct Owner        Manual        Second Owner
Maruti Celerio VXI        7        498750        24194        Petrol        Broker        Manual        First Owner
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Chevrolet Beat LS        11        225000        54000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift LDI BSIV        8        612500        63385        Diesel        Broker        Manual        First Owner
Tata Sumo GX TC 7 Str BSIII        17        144998.75        104000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Venue SX Opt Diesel        4        1493750        9000        Diesel        Broker        Manual        First Owner
Tata Indigo Classic Dicor        9        268750        84000        Diesel        Direct Owner        Manual        Third Owner
Maruti Alto 800 LXI        4        262500        24000        Petrol        Direct Owner        Manual        First Owner
Maruti Vitara Brezza VDi        5        975000        54000        Diesel        Direct Owner        Manual        First Owner
Tata Tiago XZA AMT        5        656250        14980        Petrol        Broker        Automatic        First Owner
Honda City 1.5 GXI        16        237500        119000        Petrol        Broker        Manual        Second Owner
Hyundai Xcent 1.2 VTVT S AT        8        588750        45025        Petrol        Broker        Automatic        First Owner
Maruti Wagon R VXI Minor        11        287498.75        29000        Petrol        Direct Owner        Manual        First Owner
Toyota Etios Liva 1.2 G        9        537500        46000        Petrol        Broker        Manual        Second Owner
Maruti Ertiga SHVS LDI        6        625000        44000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Vdi BSIII        15        150000        179000        Diesel        Direct Owner        Manual        Second Owner
Maruti Wagon R LXI CNG        12        200000        64000        CNG        Direct Owner        Manual        Second Owner
Toyota Innova Crysta 2.4 ZX MT        6        1662500        95195        Diesel        Broker        Manual        First Owner
Hyundai EON Era Plus        10        200000        84000        Petrol        Direct Owner        Manual        First Owner
Tata Indigo TDI        13        187500        104000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Polo 2015-2019 1.2 MPI Highline        6        837500        22591        Petrol        Broker        Manual        First Owner
Maruti Celerio ZXI MT BSIV        4        531250        7700        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R VXI BS IV        7        468750        34000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Dzire ZDI        9        725000        74000        Diesel        Direct Owner        Manual        First Owner
Maruti Baleno Delta 1.2        5        687500        12000        Petrol        Direct Owner        Manual        First Owner
Honda Jazz S        14        375000        54000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R VXI BS IV        10        375000        84000        Petrol        Broker        Manual        First Owner
Mahindra Bolero SLE        14        375000        182000        Diesel        Direct Owner        Manual        Second Owner
Maruti Ertiga BSIV ZXI        8        625000        84000        Petrol        Direct Owner        Manual        First Owner
Hyundai Getz 1.3 GLS        13        187500        109546        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 Asta 1.2        9        593750        27122        Petrol        Broker        Manual        Second Owner
Chevrolet Beat Diesel LT Option        14        243750        61000        Diesel        Broker        Manual        Second Owner
Ford Figo Petrol ZXI        12        231250        54000        Petrol        Direct Owner        Manual        Third Owner
Honda City i DTEC E        9        437500        64000        Diesel        Direct Owner        Manual        Second Owner
Ford Ecosport 1.5 DV5 MT Titanium        9        937500        105504        Diesel        Broker        Manual        First Owner
Mahindra XUV500 W8 4WD        9        1000000        160000        Diesel        Direct Owner        Manual        First Owner
Honda Amaze VX Petrol BSIV        5        862500        43000        Petrol        Broker        Manual        First Owner
Audi Q5 2.0 TFSI Quattro Premium Plus        9        2312500        66237        Petrol        Broker        Automatic        First Owner
Hyundai Verna XXi (Petrol)        16        187500        88000        Petrol        Direct Owner        Manual        Second Owner
Maruti Ertiga VXI        9        625000        29000        Petrol        Direct Owner        Manual        First Owner
Toyota Etios Cross 1.2L G        8        526250        27839        Petrol        Broker        Manual        First Owner
Ford Ecosport 1.5 Petrol Titanium Plus AT        5        1093750        14000        Petrol        Direct Owner        Automatic        First Owner
Skoda Laura Ambiente 2.0 TDI CR MT        11        481250        56000        Diesel        Broker        Manual        First Owner
Maruti Alto LX        15        175000        58000        Petrol        Broker        Manual        First Owner
Ford Freestyle Titanium Plus        3        1065000        5010        Petrol        Broker        Manual        Test Drive Car
Mahindra Scorpio SLE BSIV        11        687500        94000        Diesel        Direct Owner        Manual        First Owner
Ford Endeavour Titanium Plus 4X4        6        3312500        64000        Diesel        Broker        Automatic        First Owner
Mahindra Bolero DI        19        137500        124000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Mahindra Scorpio 1.99 S10        7        1281250        74000        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 Sportz        9        500000        52000        Petrol        Direct Owner        Manual        First Owner
Maruti S-Cross Zeta DDiS 200 SH        8        937500        49974        Diesel        Trustmark Broker        Manual        First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus        8        662500        18272        Petrol        Broker        Manual        First Owner
Mahindra Verito 1.5 D4 BSIV        11        187500        176000        Diesel        Direct Owner        Manual        Second Owner
Maruti Wagon R VXI BS IV        12        212500        44000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Santro Xing GL Plus        15        150000        45723        Petrol        Direct Owner        Manual        Second Owner
Maruti Celerio VXI        9        375000        86000        Petrol        Broker        Manual        Second Owner
Toyota Etios GD        11        375000        128000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto K10 VXI AGS        6        468750        31289        Petrol        Broker        Automatic        First Owner
Volkswagen Vento 1.5 TDI Highline        8        668750        74000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Era Plus        7        400000        28662        Petrol        Broker        Manual        First Owner
Tata Indigo CR4        11        168750        162000        Diesel        Direct Owner        Manual        Third Owner
Maruti Swift Dzire VDI        7        787500        69000        Diesel        Broker        Manual        First Owner
Honda Amaze VX Diesel BSIV        5        975000        29000        Diesel        Broker        Manual        First Owner
Hyundai Creta 1.6 CRDi SX        8        1125000        58784        Diesel        Trustmark Broker        Manual        First Owner
Hyundai Xcent 1.1 CRDi Base        7        643750        54000        Diesel        Direct Owner        Manual        First Owner
Tata Indigo Grand Petrol        9        312500        104000        Petrol        Direct Owner        Manual        First Owner
Skoda Rapid 1.5 TDI Ambition BSIV        5        1175000        6650        Diesel        Broker        Manual        First Owner
Renault KWID RXT        8        343750        18365        Petrol        Broker        Manual        First Owner
Mahindra KUV 100 D75 K4 Plus 5Str        7        587500        35367        Diesel        Broker        Manual        First Owner
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Maruti Ertiga VXI        8        781250        15918        Petrol        Trustmark Broker        Manual        First Owner
Hyundai Grand i10 1.2 Kappa Magna AT        6        687500        23890        Petrol        Broker        Automatic        First Owner
Hyundai i20 Active 1.2 S        6        712500        39000        Petrol        Direct Owner        Manual        First Owner
Hyundai Grand i10 1.2 CRDi Asta        4        875000        12000        Diesel        Direct Owner        Manual        First Owner
Mahindra XUV500 W8 2WD        10        625000        104000        Diesel        Direct Owner        Manual        Second Owner
Ford EcoSport 1.5 TDCi Titanium BSIV        8        731250        85150        Diesel        Broker        Manual        First Owner
Maruti Ertiga VDI        10        313748.75        84000        Diesel        Direct Owner        Manual        First Owner
Honda Brio 1.2 S MT        9        406250        61000        Petrol        Broker        Manual        First Owner
Mitsubishi Pajero Sport 4X4        11        1281250        171870        Diesel        Broker        Manual        Second Owner
Maruti Omni 8 Seater BSIV        10        212500        39000        Petrol        Direct Owner        Manual        First Owner
Maruti Zen LX        25        52500        74000        Petrol        Direct Owner        Manual        Third Owner
Nissan Micra Diesel XV Premium        12        172500        94000        Diesel        Direct Owner        Manual        Second Owner
Maruti Wagon R LXI BS IV        13        277500        74000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Era 1.1        15        156250        64000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova 2.5 VX 8 STR        11        1000000        112731        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 CRDi Sportz        8        500000        46000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto K10 VXI        8        400000        64000        Petrol        Direct Owner        Manual        Second Owner
Audi A4 3.0 TDI Quattro        10        1975000        90000        Diesel        Broker        Automatic        First Owner
Hyundai Grand i10 1.2 Kappa Magna AT        6        687500        23890        Petrol        Broker        Automatic        First Owner
Hyundai i20 Active 1.2 SX        7        812500        30000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI BSIV        8        618750        109000        Diesel        Broker        Manual        First Owner
Ford EcoSport 1.5 Diesel Titanium BSIV        4        1187500        21000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Polo Diesel Highline 1.2L        10        498750        48049        Diesel        Broker        Manual        First Owner
Honda City E        10        475000        127084        Petrol        Broker        Manual        First Owner
Mahindra XUV500 W8 4WD        11        750000        84000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Santro Magna BSIV        4        625000        5250        Petrol        Direct Owner        Manual        First Owner
Maruti Zen VXi - BS III        19        98750        84000        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 1.4 Asta Option        5        1037500        44000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 VXI        8        237500        74000        Petrol        Direct Owner        Manual        First Owner
BMW 7 Series 730Ld        17        1312500        34000        Diesel        Broker        Automatic        First Owner
Chevrolet Spark 1.0 LS        11        162500        84000        Petrol        Direct Owner        Manual        First Owner
Tata Indica Vista Aura 1.3 Quadrajet        14        168750        94000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Hyundai Verna SX Diesel        10        687500        46324        Diesel        Broker        Manual        Second Owner
Nissan Sunny Diesel XL        11        375000        114000        Diesel        Direct Owner        Manual        First Owner
Fiat Grande Punto 1.3 Dynamic (Diesel)        13        187500        67000        Diesel        Direct Owner        Manual        Third Owner
Mahindra Scorpio 1.99 S10        6        1250000        64000        Diesel        Direct Owner        Manual        Second Owner
Chevrolet Spark 1.0 LS        14        87500        64000        Petrol        Direct Owner        Manual        Third Owner
Maruti Ertiga VXI CNG        9        743750        60600        CNG        Broker        Manual        First Owner
Audi A4 30 TFSI Technology        5        3875000        26000        Petrol        Direct Owner        Automatic        First Owner
Hyundai i20 1.2 Spotz        6        750000        74000        Petrol        Direct Owner        Manual        Second Owner
Maruti Celerio ZXI        4        612500        24000        Petrol        Broker        Manual        First Owner
Hyundai Santro Xing GLS        14        150000        74000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Hyundai EON Era Plus        10        350000        7240        Petrol        Direct Owner        Manual        Second Owner
Ford Endeavour 3.0L 4X4 AT        10        1125000        102000        Diesel        Broker        Automatic        First Owner
Hyundai Grand i10 Sportz        7        525000        48440        Petrol        Direct Owner        Manual        Second Owner
Hyundai Creta 1.6 CRDi SX        8        1062500        62692        Diesel        Trustmark Broker        Manual        First Owner
Hyundai Verna SX AT Diesel        14        306250        79000        Diesel        Broker        Automatic        First Owner
Maruti Ciaz ZDi Plus SHVS        6        936250        55500        Diesel        Direct Owner        Manual        Second Owner
Volkswagen Polo Diesel Trendline 1.2L        13        162500        148000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Chevrolet Beat Diesel LS        9        400000        64000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista Aqua 1.3 Quadrajet        14        106250        124000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Creta 1.4 CRDi Base        5        1187500        74000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 CRDi AT SX        6        1312500        35000        Diesel        Broker        Automatic        First Owner
Tata Indigo Grand Petrol        9        312500        104000        Petrol        Direct Owner        Manual        First Owner
Ford Figo Diesel Titanium        11        218750        184000        Diesel        Direct Owner        Manual        First Owner
Maruti Vitara Brezza LDi Option        6        856250        76000        Diesel        Broker        Manual        First Owner
Maruti Alto LXi        16        125000        74000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI Minor        16        118750        84000        Petrol        Direct Owner        Manual        First Owner
Mahindra Scorpio VLX 2WD BSIV        9        977500        62000        Diesel        Broker        Manual        Second Owner
Chevrolet Spark 1.0 LS        9        275000        74000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift LDI Optional        6        625000        44000        Diesel        Direct Owner        Manual        First Owner
Maruti Ritz VDi        12        325000        56895        Diesel        Broker        Manual        First Owner
Honda Amaze VX i-DTEC        10        406250        98000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Scorpio 2.6 Turbo 7 Str        16        262500        104000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 SX        11        600000        84000        Diesel        Direct Owner        Manual        First Owner
Ford Freestyle Titanium Plus Diesel        4        937500        5001        Diesel        Broker        Manual        First Owner
Volvo XC60 D3 Kinetic        11        2187500        119992        Diesel        Broker        Automatic        Third Owner
Maruti SX4 Zxi with Leather BSIII        16        218750        82380        Petrol        Direct Owner        Manual        First Owner
Hyundai Elantra CRDi S        11        781250        44000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista TDI LS        9        312500        29000        Diesel        Direct Owner        Manual        First Owner
Mahindra KUV 100 G80 K2        5        400000        34000        Petrol        Direct Owner        Manual        Second Owner
Maruti S-Cross Sigma DDiS 200 SH        6        862500        45000        Diesel        Direct Owner        Manual        First Owner
Hyundai Creta 1.6 CRDi SX        7        668750        56600        Diesel        Direct Owner        Manual        First Owner
Toyota Corolla Altis 1.8 GL        4        1875000        24000        Petrol        Direct Owner        Manual        First Owner
Hyundai Creta 1.6 SX Automatic Diesel        8        1437500        58634        Diesel        Trustmark Broker        Automatic        Second Owner
Hyundai i20 1.2 Era        13        312500        38500        Petrol        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 SX        10        606248.75        69000        Diesel        Broker        Manual        First Owner
Mercedes-Benz E-Class E250 CDI Elegance        12        1248750        53600        Diesel        Broker        Automatic        First Owner
Maruti Zen LXI        17        100000        74000        Petrol        Direct Owner        Manual        First Owner
Maruti Omni MPI STD BSIV        9        187500        124000        Petrol        Direct Owner        Manual        Third Owner
Maruti 800 AC        9        281250        39000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI        10        500000        54000        Diesel        Direct Owner        Manual        First Owner
Maruti Ciaz VXi Plus        8        731250        28000        Petrol        Broker        Manual        First Owner
Volkswagen Vento Diesel Trendline        12        406250        74000        Diesel        Direct Owner        Manual        First Owner
Maruti Baleno Sigma 1.2        8        625000        14000        Petrol        Direct Owner        Manual        First Owner
Fiat Linea Active (Diesel)        12        237500        84000        Diesel        Direct Owner        Manual        Third Owner
Maruti Wagon R LXI        19        87500        94000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Maruti Alto LX        11        187500        94000        Petrol        Direct Owner        Manual        First Owner
Maruti Celerio VXI AMT BSIV        7        562500        43415        Petrol        Trustmark Broker        Automatic        Second Owner
Honda Brio V MT        11        311250        46000        Petrol        Broker        Manual        Second Owner
Maruti Wagon R LXI CNG        7        406250        84000        CNG        Direct Owner        Manual        Second Owner
Tata Nano Twist XT        8        91250        61000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI        10        456250        69000        Diesel        Broker        Manual        First Owner
Volkswagen Jetta 2.0L TDI Highline AT        11        918750        59300        Diesel        Broker        Automatic        First Owner
Maruti Swift 1.2 DLX        8        275000        44000        Petrol        Direct Owner        Manual        First Owner
Honda City 1.5 V MT        12        375000        68000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R AMT VXI        9        375000        32942        Petrol        Broker        Automatic        First Owner
Chevrolet Sail Hatchback 1.2 LS        7        312500        34000        Petrol        Direct Owner        Manual        First Owner
Mahindra XUV500 W6 2WD        6        1250000        44000        Diesel        Direct Owner        Manual        First Owner
Maruti Ciaz 1.4 AT Zeta        4        1087498.75        19000        Petrol        Broker        Automatic        First Owner
Maruti Celerio ZXI AMT BSIV        5        625000        14000        Petrol        Direct Owner        Automatic        First Owner
Maruti Alto K10 VXI        6        375000        35489        Petrol        Direct Owner        Manual        First Owner
Ford Ecosport 1.5 DV5 MT Titanium        9        725000        124000        Diesel        Direct Owner        Manual        First Owner
Toyota Etios V        10        518750        44771        Petrol        Broker        Manual        First Owner
Maruti Zen Estilo VXI BSIV        13        162500        54000        Petrol        Direct Owner        Manual        Second Owner
Hyundai EON D Lite Plus        8        312500        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto 800 VXI        6        352500        24000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing GLS        15        237500        74000        Petrol        Direct Owner        Manual        Third Owner
Honda BR-V i-VTEC VX MT        3        1562500        5100        Petrol        Broker        Manual        First Owner
Nissan Kicks XV Premium D BSIV        4        1687500        19000        Diesel        Direct Owner        Manual        First Owner
Maruti Eeco 5 Seater AC BSIV        5        375000        29000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift AMT VXI        5        750000        22000        Petrol        Direct Owner        Automatic        First Owner
Maruti Alto LXi        14        175000        84000        Petrol        Direct Owner        Manual        Second Owner
Chevrolet Sail LS ABS        9        468750        44000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi BSIII        13        187500        44000        Petrol        Direct Owner        Manual        Second Owner
Ford Figo Diesel Titanium        13        131250        94000        Diesel        Direct Owner        Manual        Third Owner
Maruti Eeco Smiles 5 Seater AC        9        406250        34000        Petrol        Broker        Manual        First Owner
Mahindra KUV 100 mFALCON G80 K2        6        562500        34000        Petrol        Direct Owner        Manual        First Owner
Jaguar XJ 5.0 L V8 Supercharged        13        3187500        44000        Petrol        Direct Owner        Automatic        Second Owner
Maruti Swift VDI        8        625000        104000        Diesel        Broker        Manual        First Owner
Honda City S        10        562500        100987        Petrol        Broker        Manual        First Owner
Nissan Micra Diesel XV Primo        11        281250        133000        Diesel        Direct Owner        Manual        First Owner
Maruti Wagon R Stingray VXI        9        375000        63059        Petrol        Broker        Manual        First Owner
Skoda Laura Ambiente 2.0 TDI CR MT        11        481250        56000        Diesel        Broker        Manual        First Owner
Maruti Wagon R ZXI 1.2        4        718750        34000        Petrol        Broker        Manual        First Owner
Maruti Ritz LDi        7        500000        94000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Dzire VDI        8        668750        84000        Diesel        Direct Owner        Manual        First Owner
Fiat Punto 1.3 Emotion        13        162500        214000        Diesel        Direct Owner        Manual        Second Owner
Toyota Innova 2.5 GX (Diesel) 7 Seater        8        1175000        132000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0 LT        10        300000        14000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing XG eRLX Euro III        17        75000        124000        Petrol        Direct Owner        Manual        Third Owner
Hyundai Creta 1.6 CRDi SX        7        668750        56600        Diesel        Direct Owner        Manual        First Owner
Honda Amaze EX i-Dtech        10        437500        94000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto K10 LXI        6        400000        54000        Petrol        Direct Owner        Manual        First Owner
Toyota Corolla AE        17        200000        144000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Thar 4X2        9        625000        39000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Magna        13        312500        44000        Petrol        Direct Owner        Manual        First Owner
Renault Pulse RxZ Optional        11        406250        51000        Diesel        Broker        Manual        First Owner
Maruti Alto LXi        15        125000        134000        Petrol        Direct Owner        Manual        Fourth & Above Owner
Chevrolet Beat Diesel PS        11        162500        62000        Diesel        Broker        Manual        First Owner
Honda City i VTEC V        7        798750        32205        Petrol        Broker        Manual        First Owner
Tata Indigo Grand Dicor        10        263750        84000        Diesel        Direct Owner        Manual        First Owner
Fiat Linea Emotion        13        212500        104000        Petrol        Direct Owner        Manual        First Owner
Honda City i DTEC S        9        650000        86000        Diesel        Direct Owner        Manual        First Owner
Honda Jazz VX        5        750000        24000        Petrol        Direct Owner        Manual        First Owner
Skoda Rapid 1.6 MPI AT Ambition BSIV        6        1125000        19000        Petrol        Direct Owner        Automatic        First Owner
Chevrolet Beat Diesel LS        11        150000        114000        Diesel        Direct Owner        Manual        First Owner
Tata Tiago 1.2 Revotron XE        6        375000        54000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift 1.3 VXi        18        137500        84000        Petrol        Direct Owner        Manual        First Owner
Tata Tiago 1.05 Revotorq XE        7        475000        42000        Diesel        Broker        Manual        First Owner
Volkswagen Vento 1.5 TDI Comfortline AT        9        406250        74000        Diesel        Direct Owner        Automatic        First Owner
Renault KWID RXL        4        375000        19000        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 Active 1.2 S        6        712500        39000        Petrol        Direct Owner        Manual        First Owner
Mahindra Verito Vibe 1.5 dCi D4        10        312500        64000        Diesel        Direct Owner        Manual        First Owner
Tata Tiago 2019-2020 XE Diesel        7        481250        42000        Diesel        Broker        Manual        First Owner
Maruti Alto K10 VXI        7        437500        24000        Petrol        Direct Owner        Manual        First Owner
Maruti Ertiga VDI        11        750000        124000        Diesel        Direct Owner        Manual        Third Owner
Fiat Grande Punto EVO 1.3 Active        9        325000        54000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Sail Hatchback 1.2 LS        7        312500        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Baleno Alpha 1.2        5        862500        44000        Petrol        Direct Owner        Manual        First Owner
Renault Duster 110PS Diesel RxZ        10        812500        124000        Diesel        Direct Owner        Manual        First Owner
Mahindra Scorpio EX        10        562500        114000        Diesel        Direct Owner        Manual        First Owner
Hyundai i10 Magna 1.2 iTech SE        11        237500        64000        Petrol        Direct Owner        Manual        Second Owner
Ford EcoSport 1.5 TDCi Titanium BSIV        5        1187500        25394        Diesel        Broker        Manual        First Owner
Ford Fiesta 1.4 ZXi Leather        16        125000        174000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Cruze LTZ AT        11        612500        46000        Diesel        Broker        Automatic        First Owner
Maruti Ertiga SHVS VDI        7        1000000        74000        Diesel        Direct Owner        Manual        Second Owner
Honda WR-V i-DTEC VX        5        1000000        39000        Diesel        Direct Owner        Manual        First Owner
Hyundai Accent Executive CNG        11        231250        71000        CNG        Broker        Manual        Second Owner
Honda Jazz 1.5 VX i DTEC        8        562500        42000        Diesel        Direct Owner        Manual        First Owner
Maruti Eeco 5 Seater Standard BSIV        4        475000        9000        Petrol        Direct Owner        Manual        First Owner
Maruti Zen Estilo LXI Green (CNG)        13        181250        72000        CNG        Direct Owner        Manual        Second Owner
Mercedes-Benz GLS 2016-2020 350d 4MATIC        7        6875000        81350        Diesel        Broker        Automatic        First Owner
Honda BR-V i-DTEC VX MT        7        1561250        28000        Diesel        Broker        Manual        First Owner
Hyundai Verna 1.6 SX CRDi (O)        11        562500        114000        Diesel        Direct Owner        Manual        Second Owner
Datsun GO A        8        312500        44000        Petrol        Direct Owner        Manual        Second Owner
Skoda Fabia 1.2 TDI Active        12        343750        64000        Diesel        Direct Owner        Manual        Second Owner
Maruti Baleno Alpha        4        875000        20000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Sail Hatchback LT ABS        10        281250        84000        Diesel        Direct Owner        Manual        First Owner
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Tata Xenon XT EX 4X4        13        187500        74000        Diesel        Direct Owner        Manual        Second Owner
Audi Q5 2.0 TFSI Quattro Premium Plus        9        2312500        66237        Petrol        Broker        Automatic        First Owner
Tata Indica Vista Quadrajet LX        11        150000        84000        Diesel        Direct Owner        Manual        Third Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER        5        387500        32000        Petrol        Broker        Manual        First Owner
Maruti Swift Dzire VDI        8        650000        54000        Diesel        Direct Owner        Manual        First Owner
Honda Civic 1.8 V MT        15        437500        79000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R VXI BS IV        9        262500        74000        Petrol        Direct Owner        Manual        Third Owner
BMW X5 xDrive 30d xLine        4        6187500        34000        Diesel        Broker        Automatic        First Owner
Maruti 800 AC BSIII        18        150000        24000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto K10 2010-2014 VXI        13        144998.75        74000        Petrol        Direct Owner        Manual        First Owner
Datsun RediGO 1.0 S        6        262500        19000        Petrol        Broker        Manual        Second Owner
Tata Safari Storme EX        4        1562500        28000        Diesel        Direct Owner        Manual        First Owner
Maruti Eeco CNG 5 Seater AC BSIV        3        618750        11000        CNG        Direct Owner        Manual        First Owner
Hyundai Santro Xing XG        19        100000        62000        Petrol        Direct Owner        Manual        First Owner
Tata New Safari DICOR 2.2 EX 4x2        13        375000        254000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Dzire VDi        11        562500        37000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Polo GTI        6        1031250        17599        Petrol        Broker        Automatic        First Owner
Tata Nano CX        9        68750        44000        Petrol        Direct Owner        Manual        First Owner
Hyundai Elite i20 Magna Plus Diesel        4        912500        39000        Diesel        Direct Owner        Manual        Second Owner
Maruti 800 Std        24        56250        54000        Petrol        Direct Owner        Manual        Third Owner
Honda Amaze VX Diesel BSIV        5        975000        29000        Diesel        Broker        Manual        First Owner
Datsun GO Plus Remix Limited Edition        7        375000        39000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI Minor        14        187500        57000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R LXI DUO BSIII        14        193750        64000        LPG        Direct Owner        Manual        Second Owner
Renault KWID RXL        4        468750        14000        Petrol        Direct Owner        Manual        First Owner
Maruti A-Star Vxi        13        225000        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Celerio ZXI        7        543748.75        25000        Petrol        Broker        Manual        First Owner
Tata Indigo TDI        14        125000        124000        Diesel        Direct Owner        Manual        Third Owner
Volkswagen CrossPolo 1.2 MPI        7        437500        114000        Petrol        Direct Owner        Manual        First Owner
Honda Jazz 1.5 VX i DTEC        5        987500        23571        Diesel        Broker        Manual        First Owner
Maruti 800 Std        25        50000        44000        Petrol        Direct Owner        Manual        Fourth & Above Owner
